"t1_60_ico_bin_ppm","t1_60_ico_nat_ppm","t1_60_ico_zf_ppm","t2_60_ico_bin_ppm","t2_60_ico_nat_ppm","t2_60_ico_zf_ppm","t2_400_ico_bin_ppm","t2_400_ico_pbin_ppm","t2_400_ico_nat_ppm","t2_400_ico_zf_ppm"
"7.77948","-0.0300402","-0.552644","7.77959","-0.0302448","-0.55287","5.61717","-2.20139","-3.08095","-3.16689"
"7.8295","-0.0241015","-0.549675","7.82962","-0.0243058","-0.549901","5.66728","-2.19545","-3.07997","-3.16641"
"7.87953","-0.0181628","-0.546706","7.87965","-0.0183669","-0.546931","5.7174","-2.18951","-3.079","-3.16592"
"7.92956","-0.0122242","-0.543736","7.92967","-0.012428","-0.543962","5.76751","-2.18357","-3.07802","-3.16543"
"7.97958","-0.00628548","-0.540767","7.9797","-0.00648906","-0.540992","5.81762","-2.17762","-3.07704","-3.16494"
"8.02961","-0.000346793","-0.537798","8.02973","-0.000550132","-0.538023","5.86774","-2.17168","-3.07607","-3.16445"
"8.07964","0.00559189","-0.534828","8.07976","0.00538879","-0.535053","5.91785","-2.16574","-3.07509","-3.16396"
"8.12966","0.0115306","-0.531859","8.12979","0.0113277","-0.532084","5.96797","-2.1598","-3.07411","-3.16348"
"8.17969","0.0174693","-0.52889","8.17982","0.0172666","-0.529114","6.01808","-2.15386","-3.07314","-3.16299"
"8.22972","0.0234079","-0.52592","8.22985","0.0232056","-0.526145","6.06819","-2.14792","-3.07216","-3.1625"
"8.27974","0.0293466","-0.522951","8.27988","0.0291445","-0.523176","6.11831","-2.14198","-3.07118","-3.16201"
"8.32977","0.0352853","-0.519982","8.3299","0.0350834","-0.520206","6.16842","-2.13604","-3.07021","-3.16152"
"8.3798","0.041224","-0.517012","8.37993","0.0410223","-0.517237","6.21853","-2.1301","-3.06923","-3.16103"
"8.42982","0.0471627","-0.514043","8.42996","0.0469613","-0.514267","6.26865","-2.12416","-3.06825","-3.16055"
"8.47985","0.0531014","-0.511074","8.47999","0.0529002","-0.511298","6.31876","-2.11822","-3.06728","-3.16006"
"8.52988","0.05904","-0.508104","8.53002","0.0588391","-0.508328","6.36888","-2.11228","-3.0663","-3.15957"
