	TH_OOE_PAR_400	TH_OOE_PLA_400	TH_OOE_PRT_400	TH_OOE_VAL_400	TH_OOR_FIL_400	TH_PUM_PEL_400	TH_RIC_EPI_400	TH_SES_CLI_400	TH_SES_DID2_400	TH_SES_LAT_400	TH_SES_TOK_400	TH_SES_YEO_400	TH_SUN_SAF1_400	TH_AVO_SAN2_400	TH_CAN_COM_400	TH_HAZ_GEO_400	TH_HAZ_LAT_400	TH_OOE_ALL_400	TH_OOE_COL4_400	TH_OOE_FRA2_400	TH_OOE_FRA3_400	TH_OOE_LOR_400	TH_OOE_MIN_400	TH_OOE_HER_400	TH_OOE_KRN2_400	TH_OOE_KRT_400	TH_OOE_NEF_400	TH_OOE_NUN_400	TH_OOE_SAM1_400	TH_OOE_SAM2_400	TH_OOE_SOL_400	TH_PEA_PLA_400	TH_PUM_GEA_400	TH_SUN_CED_400	TH_SUN_COM_400	TH_CAN_HAR_400	TH_GRA_MAN_400	TH_HEM_GOL_400	TH_HEM_SAT_400	TH_OOE_COL1_400	TH_OOE_CAL_400	TH_OOE_CRI_400	TH_OOE_DOM_400	TH_OOE_FRA4_400	TH_OOE_GEM_400	TH_OOE_KRI_400	TH_OOE_KRN1_400	TH_OOE_PAE_400	TH_OOE_TRA2_400	TH_PEA_CED_400	TH_SES_DID1_400	TH_SUN_UNI_400	TH_AVO_LAT_400	TH_AVO_OLI_400	TH_AVO_SAN1_400	TH_CAN_CED_400	TH_COR_MAZ_400	TH_FLA_GOL2_400	TH_OOE_ANT4_400	TH_OOE_AUM_400	TH_OOE_AUR_400	TH_OOE_BUO_400	TH_OOE_CLE_400	TH_OOE_COL3_400	TH_OOE_GIA_400	TH_OOE_ILF_400	TH_OOE_ILF2_400	TH_OOE_MAS_400	TH_OOE_TRA1_400	TH_OOR_GAL_400	TH_OOR_MAS_400	TH_PEA_LIO_400	TH_PIS_LAT_400	TH_SAN_SAF2_400	TH_SES_KAD1_400	TH_SES_KAD2_400	TH_SES_MAR_400	TH_WAL_LAT_400	TH_AVO_CHO_400	TH_GRA_BAS1_400	TH_GRA_CAR_400	TH_OOE_ACU_400	TH_OOE_ANT3_400	TH_OOE_ANT1_400	TH_OOE_ANT2_400	TH_OOE_BOR_400	TH_OOE_CEN_400	TH_OOE_COL2_400	TH_OOE_COL5_400	TH_OOE_FIL_400	TH_OOE_FRA1_400	TH_SES_GRE_400	TH_ALM_KIS_400	TH_ALM_LAT_400	TH_FLA_GOL1_400	TH_GRA_BAS2_400	TH_MAC_HGV_400	
-2.07572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0227729	-0.00868556	0	0	0.0213053	-0.00455614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00093405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00806653	0	0	0.00147762	0	0	0.00123728	0	-0.00129202	-0.00465881	0.00162698	0.0019312	-0.000126307	-0.00155425	
-2.02573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0183117	-0.0139971	0	0	-0.0137282	0.000314841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00178598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00776203	0	0	-0.0136226	0	0	-0.0192107	0	0.00488631	0.00852069	0.0118624	-0.0187285	0.000571036	-0.0243845	
-1.97573	-0.0079606	-0.00337194	0.00785165	0.00248616	0.00281906	-0.00275888	0.00225155	-0.00814346	0.0018512	-0.00525021	0.0043787	0.000152372	-0.00238512	-0.000813718	0.00306026	-0.00398964	0.00155693	0.00163229	-0.0080694	0.000574407	0.00471398	0.0100731	0.00170078	0.00215471	-0.00748925	-0.00140722	-0.000270494	0.0032262	-0.0152277	0.0200155	0.00105555	-0.009912	-0.00574922	0	-0.00172091	0.00144159	0.0231285	0.00954332	-0.0034674	0.00140527	0.00512757	0.000970216	0.00592066	0.00130323	0.00195596	0.00467887	0.00327353	0.00512531	0.000725429	0.00233893	0.00345547	0.0049362	0.00617498	-0.00108465	0.00611991	0.00516011	0.00244579	0.00213751	-0.0011496	0.00404176	-0.00222478	-0.000613664	0.00152463	0.0037156	0.00757531	-0.00256889	0.00491733	0.00359185	-0.000180165	0.00328755	-0.000466172	0.00248675	-0.00154662	-0.000107647	-0.00120451	0.00354123	0.00477685	0.00799002	0.00161487	0.0038533	0.00180102	0.00553238	0.000785041	-0.0139702	0.00183163	0.00241909	-0.011784	0.0143186	0.0030181	-0.00370919	0.00145458	-0.00185562	-0.00787163	0.0078804	-0.00656973	-0.00444251	-0.01905	
-1.92573	0.0048593	0.0105673	0.0109575	0.0034683	-0.000924813	0.00247281	-0.00178357	0.0177488	0.00454735	-0.000992742	0.00394943	-0.00132463	-0.00345452	0.0070219	-0.00233506	0.000631926	7.31794e-05	-0.00354941	0.0049646	0.00547977	-0.00190066	0.00115728	-0.00236466	-0.00258822	0.00964251	-0.000610268	-0.00494196	0.0103416	0.00758877	0.0169827	0.00529866	-0.0206626	-0.00660982	0	0.00458707	0.0253515	-0.0172503	0.00388643	0.000889877	0.00627482	0.00287169	0.0019935	0.00466392	0.00200117	-0.00164328	0.00625887	0.00550323	0.00495144	0.018584	-0.000427531	0.00216193	-0.00846185	0.00124793	0.000706153	0.00111861	0.00223497	8.1722e-05	-0.00122563	0.000930559	0.00074239	5.87805e-05	-0.000541225	0.01099	0.00209705	0.00280981	-0.000891227	0.00359297	0.00149248	-0.00116557	0.00214592	0.00203931	-0.000563696	0.00197345	0.000918882	0.00225202	-0.000788893	0.00499739	0.00274012	0.004511	0.0058729	0.00154229	0.00293898	-0.000281343	0.0119132	0.00353577	0.00288877	0.00633803	0.00267239	0.00877166	0.00842258	-0.00027893	0.0210112	-0.0060749	0.0106727	0.00313789	0.000499891	-0.00414869	
-1.87574	-0.0088033	0.0031583	-0.00852166	-0.00794296	-0.00380349	-0.00525712	-0.000315559	-0.00323372	-0.00716455	0.00967056	0.00123559	-0.0130398	0.00680506	-0.00037862	0.00458964	0.00141311	-0.00237789	0.0061982	-0.00875876	-0.00263585	0.00594859	-0.011353	-0.00276268	-0.00429062	-0.00752099	0.000202361	0.00461611	0.00539333	-0.00557498	-0.00927198	-0.00183602	0.00556454	0.0107339	0	0.00612733	-0.00806772	-0.00519827	-0.0125642	0.00604043	-0.00164152	-0.00100196	0.000219068	-0.00500903	0.00222915	0.00292258	-0.00309455	-0.00269082	0.00188203	0.0025851	-0.000779875	-0.00213017	-0.017536	0.000988547	-0.000737329	0.00646605	-2.96054e-05	0.00946037	0.000170078	0.000419972	-0.000569748	0.00316881	0.00202303	-0.0135795	-0.00248313	-0.00554314	0.00468932	0.00100876	1.97406e-05	-0.000992382	0.000465173	-0.00041568	-0.00203946	0.00123741	-0.00174631	0.00326808	-0.00254717	-0.00280138	-0.000423237	0.000367031	-0.00085223	0.000853994	0.000110528	0.00214854	0.00906962	0.00135481	-0.00112379	0.00322104	-0.0155261	-0.000903209	0.00220573	-0.00227481	0.0247873	0.0164564	-0.00728351	-0.0035448	0.0201213	0.00588628	
-1.82574	0.0112193	-0.00780697	0.00495587	0.000900734	1.67744e-05	0.00396345	0.00568749	0.0069223	0.0123014	-0.00994087	0.00399431	-0.00489423	0.000103742	0.00503958	-0.000805981	-0.000328651	-0.00169046	-0.00193136	0.0112496	-0.00528958	0.00678901	-0.00343724	0.00562616	0.00552107	0.0131503	-0.000192771	-0.00212199	-0.00464575	-0.00291752	-0.00557539	1.09346e-05	-0.000104888	0.00607463	0.0112168	0.00673971	-0.0100943	-0.00575469	0.00694489	-0.00597917	-0.00296416	-0.00136308	-0.00125877	-0.00019099	8.68037e-05	0.00270305	-0.00460478	-0.0021771	-0.00213188	-0.0124866	-0.00241294	0.00541496	-0.000887657	-0.00817136	-0.00111613	0.000773268	-0.000406996	-0.00244396	0.00371484	0.00120944	0.00527004	0.00147432	0.00272961	0.00985763	-0.00123711	0.00389749	0.00290276	-0.00251682	-0.00376256	-0.0017072	0.00240779	-0.000218423	0.00171914	-0.000833555	0.000169491	-0.00120049	-0.0005448	-0.000212857	0.000269739	-0.00359595	-0.00403945	-0.00301993	0.00130391	0.0013631	-0.0167431	-0.00236315	-0.00045094	-0.00777421	-0.00104368	-0.00544061	0.000330849	0.00194057	-0.0056093	-0.00275646	0.010217	0.0169538	0.00142772	-0.00291624	
-1.77574	-0.00275334	0.00311944	0.000635306	0.00114515	-0.00212177	-0.00569255	0.000895666	-0.0125749	0.00313595	0.00424843	-0.00685643	0.00911552	0.000314211	0.000764415	-0.00643181	-0.00049567	-0.0104442	0.0047525	-0.0028313	0.000635647	-0.00364987	-0.000296392	-0.00236457	0.00387088	0.00468791	-0.00121199	0.0015191	-0.00265006	0.0100404	-0.0083939	0.00242091	0.0170122	-0.00875315	-0.0134383	-0.0071432	-0.00944657	-0.017043	0.00421962	0.000947567	-0.00132449	-0.00137103	-0.000231812	0.00164955	-0.00115257	-0.00154772	0.000931498	0.00208641	-0.0016157	-0.00143295	0.000181463	0.0021107	0.0120552	-0.000519499	0.00030267	-0.00597122	-0.00445493	-0.00402508	-0.00101201	0.00313585	0.000538957	-0.0015386	0.00119243	-0.00248589	-0.000635931	0.00137281	-0.001963	-0.00168546	-0.000668717	0.00162176	-0.00268445	3.37327e-06	0.00212912	0.000252243	0.00151803	-0.000361879	-0.00110226	-0.000449038	-0.00358877	0.000879381	-0.000902822	-0.00126948	-0.00190752	-0.0010172	0.0140156	-0.00185184	0.00155323	-0.00702147	0.00247383	0.000157849	-0.00940529	0.00295959	0.00209027	-0.0062025	-0.00150328	-0.00815029	-0.00337399	0.00951599	
-1.72575	0.0176841	0.0061604	-0.0667731	-0.00861907	0.0491022	0.0537039	0.000931898	-0.0055216	0.0325417	0.0239228	-0.0449974	0.0566407	0.00190537	-0.0116283	-0.011821	-0.00771523	0.00723463	-0.0101577	0.0175334	0.0390427	-0.0250717	0.021338	-0.0258779	0.00721088	-0.0329173	0.00302539	0.00150347	0.00724611	-0.0184858	0.0470925	0.00423909	-0.00755448	-0.00954115	0.00580833	-0.0412104	0.0238468	-0.000604421	0.0303472	0.0649745	0.00962416	0.011335	-0.0337426	-0.00365915	0.00179146	-0.00121361	-0.00276819	0.00710235	-0.00764712	-0.0255345	0.017882	-0.00811913	0.00248153	0.0169312	-0.0111058	0.0346965	-0.0152138	-0.00355341	0.0159523	-0.00806741	-0.01173	0.021131	-0.00768444	0.0408266	0.00258096	-0.0214251	-0.00095703	-0.0238612	0.00331433	-0.00113874	0.0119421	0.0059523	0.0106881	-0.00383293	0.00231373	-0.0184204	0.00376266	-0.0269414	0.00777234	-0.000245837	0.0252783	0.00918155	0.00163301	7.89385e-05	0.00761909	0.00954534	-0.0245359	0.0151274	-0.0163428	-0.011811	-0.00900441	-0.00521637	-0.00165805	0.00529866	-0.0175274	0.00232926	-0.00457494	-0.00266059	
-1.67575	-0.0188526	0.00115812	0.0148841	-0.0197256	0.0131302	0.035474	0.0128806	-0.0313588	-0.00630849	0.00823616	-0.0227148	-0.00351961	-0.00066918	0.00105578	-0.0285508	0.00369363	0.020284	-0.0109432	-0.0187377	0.0207754	-0.00681346	-0.0125809	0.0227617	-0.00301556	0.0100802	0.0152458	0.0118264	-0.0235037	-0.00353782	0.00817042	-0.0139545	0.0167571	-0.000343145	-0.000212332	-0.0390008	-0.0276882	0.00190296	0.00589149	0.0175351	0.0271597	-0.0056909	-0.0110181	-0.00957882	0.00101858	0.00622873	-0.00543842	0.00761155	-0.015709	-0.0121395	0.0159006	0.000852941	6.39652e-05	-0.0145255	-0.00246878	0.0168382	-0.00697359	0.0152871	0.0244047	-0.0180209	-0.0132424	0.0251481	-0.0190234	0.0279884	0.0106901	-0.0304162	-0.00528617	-0.0232769	0.0124194	0.00159669	0.0120735	0.0175385	0.0147441	0.00594644	0.00884233	-0.0204157	-0.00383773	-0.0148196	-0.00482051	-0.00653403	0.0150028	-0.002727	0.00530565	-0.00528422	-0.0301369	-0.0177902	-0.0203535	-0.00834257	0.019841	-0.0270087	0.0118085	0.00574937	-0.00483646	-0.00822247	-0.0165134	-0.0244021	-0.00524379	-0.0243129	
-1.62575	-0.0213049	0.00232231	0.048911	0.0185804	0.0118393	-0.0302577	-0.00888855	0.0174591	-0.0108752	0.0153772	0.0294618	0.00733554	0.0185268	0.0123243	-0.0240853	0.0020752	-0.00543277	-0.00696589	-0.0213277	-0.0144265	0.00225925	-0.0120534	0.0334416	-0.0191283	0.0148511	-0.00422086	-0.0168007	-0.00262761	0.00623356	-0.0236523	-0.00971335	-0.00123112	0.014939	-0.00776895	0.0162447	-0.00461008	-0.0102819	0.0173267	-0.00787337	0.00804766	0.0272999	0.0168843	-0.00653572	0.00395303	0.0211952	0.0132881	0.00744314	0.00299371	-0.00532974	0.014765	-0.000851004	0.012966	-0.000964237	0.00418878	0.0128451	0.00690126	0.0140759	0.000481647	-0.0111252	-0.00161106	0.00607224	-0.00805829	-0.00962771	0.00726192	-0.00436636	0.0027501	0.005307	0.00400677	0.00671791	-0.00781594	0.0016858	-0.00102567	-0.002692	-0.00783814	-0.00484513	-0.00602093	-0.0152737	-0.00253616	-0.00980887	-0.0067825	0.00364947	-0.00175575	-0.0245268	0.0127084	0.0169653	0.00548158	-0.0216002	0.0413305	0.0167164	0.00809365	0.00324983	0.00281021	0.0197752	0.0233708	0.0246008	0.0158832	-0.00574834	
